Geneid	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
ENSG00000100593	22	6	10	0	6	22	4	14	0	4	0
ENSG00000100596	6818	4139	2208	4099	5326	5740	6036	10844	7466	4566	6158
ENSG00000100599	725	773	3270	2220	226	532	183	189	363	731	96
ENSG00000100600	3145	2532	2557	2477	1104	1810	1075	3270	2970	1559	1837
ENSG00000100601	570	468	304	349	330	559	425	749	550	480	406
ENSG00000100603	3795	3072	2403	2622	3061	3334	2801	4723	4437	2777	3249
ENSG00000100604	2	0	2	8	0	2	2	0	2	4	2
ENSG00000100605	2975	1636	3176	4637	1672	4442	2155	2972	2248	2712	1863
ENSG00000100612	2713	1942	2185	2644	1455	1693	1727	2876	2303	1191	2407
ENSG00000100614	5702	4291	4650	4521	3249	2716	3962	6335	3212	1886	3586
ENSG00000100625	4868	2704	192	1449	4236	1362	2841	4250	4835	2194	2503
ENSG00000100626	26	17	0	16	23	40	24	34	28	73	18
ENSG00000100628	85	5	52	79	44	95	38	50	166	64	75
ENSG00000100629	450	234	50	272	357	436	594	1362	681	463	403
ENSG00000100632	4982	3409	1439	2949	4596	5914	4426	6789	5687	9819	4184
