"","ICU_01","ICU_02","ICU_03","ICU_04","NON_01","NON_02","NON_03","NON_04","NON_05","NON_06","NON_07"
"ENSG00000167470",6.67765475449728,6.71567970882683,8.95571596373241,8.19178489220968,6.22753053495247,6.57666307908231,5.70445103635796,5.85385662110502,6.30750185451472,7.37297901815834,5.36085264841534
"ENSG00000167515",5.14685764175111,5.22880516952634,5.29985020875144,5.23078745176434,5.46328190728739,6.27252227527174,6.26834572454963,5.6326209589532,6.1060470052486,6.89201621727075,6.20816209208122
"ENSG00000167523",3.99098313607257,3.22281939820337,3.06620994642134,4.44839262879231,4.73084715976786,5.21480289405417,5.14475522042392,5.18552269467305,5.41083097483168,7.17485008389739,4.82755497417406
"ENSG00000167525",1.27387462438257,1.21300023534009,1.69978824501539,2.75747562769762,2.83253240736136,3.19720621659783,3.31070539740258,3.36340044929773,2.99010947722944,3.9492378414582,3.12706971507612
"ENSG00000167535",3.67904090105586,3.87765816513314,3.24678960842,4.48742985120376,4.53040922004521,5.05868493713409,4.77550149226081,5.14692808888781,5.30469801305693,5.6991342104283,4.809374701441
"ENSG00000167548",4.23538095603764,4.61505137445082,6.0662651046627,6.00894614931731,3.8747325932698,4.40769948813969,3.64086078466289,3.65763203825548,3.55262408667216,3.98877440441834,3.32286512782914
"ENSG00000167550",2.37760355593454,0.795701121818918,1.0572490690678,2.5145498132668,3.72500234107586,3.03023994476324,3.16685427447948,3.40834117853492,3.46641963547044,4.17381925681912,3.2243712065825
"ENSG00000167552",9.12893629494668,8.34519700339565,8.96116316197713,9.84040317990133,10.1431410889569,10.147347836009,10.4612938695412,10.1969554824423,10.4194395641237,11.5162411059691,10.3270926632595
"ENSG00000167553",4.76609139554191,6.09249191398348,6.71187179948148,6.2802462632484,4.70635545444047,5.09298510956011,4.20142544412141,4.61312285172919,3.91350626909612,4.84688770434448,4.68953315612248
"ENSG00000167554",2.97055556804809,1.1346210337528,0.454452998023722,1.60619336319233,2.98883359452695,2.52073655491942,3.46946793807335,3.24699006841175,3.45750897578619,2.18797910991639,3.2006541184026
"ENSG00000167566",2.91923159711405,3.12991346489773,5.01508400403694,4.39293113174057,3.12550421899288,3.23609405686163,1.7359455885391,2.37724586881419,2.21197654702892,4.05545877358303,2.28571538240576
