Names	total	elements
		ENSG00000167208
		ENSG00000143384
		ENSG00000116473
		ENSG00000144671
		ENSG00000180353
		ENSG00000225630
		ENSG00000161270
		ENSG00000118432
		ENSG00000094804
		ENSG00000168615
		ENSG00000127666
		ENSG00000188505
		ENSG00000139318
		ENSG00000112149
		ENSG00000121060
		ENSG00000160593
		ENSG00000153802
		ENSG00000121552
		ENSG00000075624
		ENSG00000034152
		ENSG00000101670
		ENSG00000197641
		ENSG00000152784
		ENSG00000121579
		ENSG00000266313
		ENSG00000135365
		ENSG00000182871
		ENSG00000175063
		ENSG00000163661
		ENSG00000196352
		ENSG00000138778
		ENSG00000250958
		ENSG00000012124
		ENSG00000181409
		ENSG00000159082
		ENSG00000149480
		ENSG00000137393
		ENSG00000250548
		ENSG00000075399
		ENSG00000100439
		ENSG00000169228
		ENSG00000186818
		ENSG00000165272
		ENSG00000083857
		ENSG00000126550
		ENSG00000163421
		ENSG00000144597
		ENSG00000164266
		ENSG00000285906
		ENSG00000129451
		ENSG00000145428
		ENSG00000092295
		ENSG00000178607
		ENSG00000180667
		ENSG00000116741
		ENSG00000256581
		ENSG00000131979
		ENSG00000168078
		ENSG00000273980
		ENSG00000251230
		ENSG00000110079
		ENSG00000185955
		ENSG00000267123
		ENSG00000255801
		ENSG00000167851
		ENSG00000008294
		ENSG00000225783
		ENSG00000109111
		ENSG00000114738
		ENSG00000115594
		ENSG00000151725
		ENSG00000248588
		ENSG00000216490
		ENSG00000134996
		ENSG00000091436
		ENSG00000186827
		ENSG00000274717
		ENSG00000140678
		ENSG00000125810
		ENSG00000225190
		ENSG00000130382
		ENSG00000111344
		ENSG00000128965
		ENSG00000123728
		ENSG00000280924
		ENSG00000177150
		ENSG00000174371
		ENSG00000157168
		ENSG00000137462
		ENSG00000100345
		ENSG00000261371
		ENSG00000164620
		ENSG00000152380
		ENSG00000169594
		ENSG00000109099
		ENSG00000163464
		ENSG00000105856
		ENSG00000081320
		ENSG00000072786
		ENSG00000063015
		ENSG00000236412
		ENSG00000198833
		ENSG00000007306
		ENSG00000150991
		ENSG00000226608
		ENSG00000169994
		ENSG00000168487
		ENSG00000130066
		ENSG00000214655
		ENSG00000175556
		ENSG00000185262
		ENSG00000040633
		ENSG00000234975
		ENSG00000114850
		ENSG00000187037
		ENSG00000257017
		ENSG00000234199
		ENSG00000112062
		ENSG00000134278
		ENSG00000108950
		ENSG00000123374
		ENSG00000249437
		ENSG00000119535
		ENSG00000167604
		ENSG00000162545
		ENSG00000146904
		ENSG00000286256
		ENSG00000162924
		ENSG00000226145
		ENSG00000223722
		ENSG00000123610
		ENSG00000213654
		ENSG00000256235
		ENSG00000179119
		ENSG00000101150
		ENSG00000279198
		ENSG00000158125
		ENSG00000113916
		ENSG00000101955
		ENSG00000170776
		ENSG00000142319
		ENSG00000173846
		ENSG00000120063
		ENSG00000151789
		ENSG00000173727
		ENSG00000205057
		ENSG00000068323
		ENSG00000087152
		ENSG00000075785
		ENSG00000214711
		ENSG00000126391
		ENSG00000143320
		ENSG00000284882
		ENSG00000250966
		ENSG00000148516
		ENSG00000114353
		ENSG00000131236
		ENSG00000145901
		ENSG00000116871
		ENSG00000285106
		ENSG00000188895
		ENSG00000165181
