genesymbols	Developing Ciliated Cells	SPRR2D high Squamous Cells	KRT24 KRT13 high Secretory Cells	ITGAX high Macrophages	B Cells	FOXJ1 high Ciliated Cells	CD8 T Cells	SERPINB11 high Secretory Cells	Inflammatory Macrophages	MSR1 C1QB high Macrophages	Dendritic Cells	MUC5AC high Goblet Cells	CCL5 high Squamous Cells	SCGB1A1 high Goblet Cells	BPIFA1 high Secretory Cells	Deuterosomal Cells	Basal Cells	Early Response FOXJ1 high Ciliated Cells	Early Response T Cells	Ionocytes	Interferon Responsive Macrophages	BPIFA1 and Chemokine high Secretory Cells	Cilia high Ciliated Cells	Mitotic Basal Cells	Interferon Responsive Ciliated Cells	AZGP1 high Goblet Cells	BEST4 high Cilia high Ciliated Cells	Developing Secretory and Goblet Cells	FFAR4 high Macrophages	AZGP1 SCGB3A1 LTF high Goblet Cells	HOPX high Squamous Cells	Plasmacytoid DCs	Enteroendocrine Cells	Early Response Secretory Cells	VEGFA high Squamous Cells	Interferon Responsive Cytotoxic CD8 T Cells	Interferon Responsive Secretory Cells	Mast Cells
ABCC12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC3	1	1	1	1	1	1	1	438.103122289426	1	1260.92619278261	1	908.953410866196	1	1	1	1	954.056122572147	1	1	1	866.184550322414	1	1	468.072132449444	1	530.148074172807	1	1245.42840433981	513.105447921569	1	1	1	1	515.279523162568	1	1	1	1
ABCC4	1	1	1	1	1	1	1	1	1	1	1	740.920577099092	1	1821.23729781531	1	1	873.603243459903	1	1	1295.59648056439	1	1	1	1	1	1	1	1041.22370889957	2960.4181200023	1	1	1	1	902.143218900575	1	1	1	1629.66449511401
ABCC5	2355.8473518644	1	933.189063527414	1	1837.2874038577	2727.96625919417	1	846.184299905781	1	1	1	2171.33757814458	1	1762.02959021149	1	2188.57230727161	3212.37679720791	1561.78673500432	726.564081019059	980.7129187274	1	1613.90322580645	4019.96953909804	1218.12775529767	1626.23657075586	462.711880501539	4470.88630701991	9595.51310303287	112.250809552519	1705.87290960224	1	1	1	570.522982350438	356.723833622721	1	1	1
ABCC5.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC6	1	1	1	1	1	467.516341256659	1	1	1	1	1	1	1	1	1	1	1	228.725669668672	1	1	1	1	1095.18838853288	1	275.700908864053	1	1302.60755417495	1	1	1	1	1	1	1	1	1	1	1
ABCC8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	448.227191413238	1	1	326.748329578542	1	1	1
ABCD2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	197.179311863319	1	1	1	1	1	1	343.394285446686	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCD3	1238.13279934245	629.037585147697	2379.66059009807	1	1	1454.79366881742	1	2196.67531390669	1	1	1	1913.94814688168	1	2050.43382650077	671.845507936756	2074.61877615613	1023.55938518004	1227.44429717316	1	870.281917561988	1	1613.90322580645	1833.07532277568	1218.12775529767	1204.85533497802	2140.69259895148	1357.37993862739	1046.66458439612	453.761261920911	770.36602517961	826.082508250825	1	1	1002.73763974839	524.468777748895	1	5264.15789473684	1
ABCD4	1	1	1	1	1	839.790492323915	1	1	1	1	1	563.760639025978	1	738.241184263146	1	1	587.7627990183	477.631199557033	699.535644803274	1	1	1	1	1	515.928331326414	1	977.615499570598	805.469687389044	238.845562325396	1	1	1	1	267.097971504144	423.352472601908	431.374231444901	1467.27565982405	1
ABCE1	1	1	383.443596915284	1	1452.97664997983	552.836418348783	1	342.694813340173	1069.12793897664	1586.31463834039	1	1	1	891.27597464491	1	491.507209042439	559.660914702696	426.268920934867	1	549.793202198125	1115.62858000996	1	1	1	375.186116141564	573.8553760896	403.147808275872	1	443.874764760152	359.371798156042	1	906.649564142008	1	359.493241648531	1	1016.93405525972	1467.27565982405	1
ABCF1	1	1713.10838059401	1265.43355741375	2581.77098302648	1	785.878750489066	2810.85705430195	980.13860619779	2375.97279093364	842.134227959076	1063.56307748324	2150.29294862442	1	1436.5189482642	550.926427320785	3145.96010907054	2085.98167037333	811.384517206671	1845.43521618436	1502.99284254253	1878.12186731986	569.181818181818	3863.54385238034	1064.66886161535	1118.15197867584	825.195528239347	1001.39382649208	1383.43343134855	1584.36414586846	934.410779551029	5556.55555555556	649.508430609598	1	1133.98649623519	1798.24080853776	2436.92567958088	1	1
ABCF2	1	324.16397768991	726.633120361971	1	450.754949417228	394.81380470641	1	951.804454571164	1	1	1	1	1	1	1	1	1	673.006866936708	609.969850404049	1	742.43877073336	1	1	1	435.71784510592	189.041820220876	382.607054530458	1	36.318044579965	1	1	1219.70859813127	1	571.943423569718	187.048715730575	1266.0994645635	1	1
ABCF3	1	1	1	1	3189.23775311488	323.614605248073	1	1	1	1	1	1	1	1	1	869.725476181457	1	194.626787252137	1	1	1	1613.90322580645	1	174.103485993151	361.372087742823	1	1	1	287.264531585517	427.21822740056	826.082508250825	1	1	441.464005687599	271.940279925742	592.494080673572	1719.21305841924	1
ABCG1	1	916.67694891045	1	1	2737.15808895734	780.95311243847	1	1	1	2136.26083495518	1	1	1	1	1	1	1	302.997971974882	957.283249688553	1	1	1	1	1	582.315995131663	988.412650082065	435.925847342799	1	5332.20314577595	1152.73883836358	826.082508250825	1	1	479.404225758465	1707.20967553702	1252.73182532227	1	1
ABCG2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCG4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCG5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCG8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12157.8617257701	1	1	1	1	1
ABHD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3426.82053930168	1	1	1	1	1
ABHD10	1	1	1	1	1	359.903942112343	1	1	1	903.72336218295	1	1	1	1	1	1	1	606.0666040658	1	1	1	1	1	1	381.162773538485	1	1	1	180.507654981064	1	1	973.762645914397	1	238.358399812673	1	421.571459804256	1	1
ABHD11	1549.06842352283	1469.00709270633	728.864964669995	1	1	1359.51219458179	1	540.741526515221	1	416.446880660541	1	924.153353721673	1	534.947108297774	1	1679.54446484916	1	1047.78715770309	1	587.524815451685	1	1613.90322580645	1352.32100506407	1	1719.33067403902	700.653981714829	2485.23919577904	1	901.855643502754	1251.48710825205	826.082508250825	1	1	1170.9132268379	1080.81093224042	1	1	1
ABHD12	1	441.74855413404	1	1	1792.08142750943	287.66328377717	1	1	1	1417.4761529615	1427.06305726989	1	1	1	1	1	1	276.783034517159	1	694.917327791001	548.888765355131	1	1	1	245.720849959938	791.645115508508	1	1	2160.67942324178	1	826.082508250825	1	1	505.080163164566	640.385148532185	1	1	1
ABHD12B	1	1	1	1	1	912.646757760728	1	1	1	1	1	1	1	1	1	539.621317610363	1	1112.83177017593	1	1	1	1	1	1	971.291486554164	1	517.691441128404	1	1	1	1	1	1	207.902006487026	1	1	1	1
ABHD13	1	1	674.633706122334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	369.889202418711	910.843788337561	1	614.974480370059	1	1	1	369.696466151537	468.082775691294	1	1	176.049909829202	85.5053418296611	1	649.508430609598	1	298.623086197981	338.58180306592	1266.23732266278	1	1
ABHD14A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	219.342103664018	1	1	1	1	1	1	305.559847617118	1	1	1	452.901894878222	1	1	1	3401.19130746697	1	1	1	1	1
ABHD14A.ACY1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
