"","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000102466",0.227262812594095,0.479951494885688,0.0196480288158036,0.0243337975387068,0.384324357850578,0.0131167303794727,0.307102493519774,0.0196480288158036,0.401144897960479
"ENSG00000102471",0.426175240083245,0.241865561477893,0.867315666270784,0.233655796536957,0.276947700273761,0.682323852056226,0.666684498280762,0.889300767783292,0.433440737611615
"ENSG00000102524",0.000116077270185678,0.013275877464573,0.013376145945041,0.214787494969753,0.0076340869801427,0.0404239810592009,0.0734110291707682,0.013376145945041,0.0466957093540989
"ENSG00000102531",0.079477798305379,0.013275877464573,0.361584555686091,0.794188687190575,0.00884998687509756,0.482360333939093,0.706636631932547,0.301394197046233,0.0466957093540989
"ENSG00000102543",0.919146374087212,0.861417823910287,0.593126859134018,0.838975118088685,0.86236244089713,0.559125889336483,0.87199918035385,0.534934846276775,0.728687504011136
"ENSG00000102547",0.233655796536957,0.0170794344247979,0.0506712879011351,0.288506282861372,0.0133444877241827,0.140257189091966,0.851192958941081,0.0277802600707998,0.0319627993280174
"ENSG00000102554",0.399890515137018,0.121232469890214,0.427429867987261,0.919329824440966,0.128275872801152,0.859785761362479,0.872288363084034,0.498526210519246,0.401144897960479
"ENSG00000102572",0.0101823112227311,0.155842955629683,0.0248463444406555,0.0258084727576041,0.108793948575401,0.0114567316577406,0.165360193655726,0.0173639320276314,0.0655430526010185
"ENSG00000102575",0.0146058389051509,0.00322948051711604,0.0277802600707998,0.191080090137452,0.00395619230459285,0.135866542907652,0.0575290792418909,0.0152766309171525,0.0826509573441751
"ENSG00000102580",0.11260935978213,0.0734110291707682,0.0906863459869455,0.500103997909273,0.0401240479015355,0.306855452393697,0.62749486595089,0.0977163661397236,0.0426455698053267
"ENSG00000102595",0.462462370038952,0.97864147885784,0.105094079748197,0.0323416186575761,0.738801708682205,0.0366809764940417,0.241865561477893,0.120914016593328,0.484091162225397
"ENSG00000102606",0.453260774537193,0.97864147885784,0.574356019094198,0.98845982500131,0.738801708682205,0.131563946686948,0.851192958941081,0.613855791268312,0.401144897960479
"ENSG00000102678",0.794188687190575,0.412687797958505,0.758923284143911,0.408561451833844,0.678723941700024,0.32841095603878,0.412687797958505,0.801919446588116,0.978836500144194
"ENSG00000102699",0.589340091626072,0.479951494885688,0.613855791268312,0.873493762145745,0.491765414058626,0.989168462852478,0.851192958941081,0.674845988388521,0.689309020586362
"ENSG00000102710",0.519409044953238,0.97864147885784,0.393822814691562,0.214787494969753,0.862673046727988,0.259662456885307,0.266911027331621,0.44473001942767,0.810990394300046
"ENSG00000102738",0.0178435557934578,0.196022378620094,0.00534044344098426,0.0561200478450901,0.112525831201227,0.000670307762136808,0.266911027331621,0.00632791500737075,0.0826509573441751
"ENSG00000102743",0.804991668986246,0.882599400758216,0.409347827354758,0.694163808471222,0.658310414434803,0.392550019943629,0.935828998724657,0.516082994438084,0.708576497974754
"ENSG00000102753",0.738554264845776,0.608212031580995,0.427429867987261,0.100721624291111,0.759140583555186,0.234677850467097,0.335615441939358,0.462351459849345,0.978836500144194
"ENSG00000102755",0.021565225127657,0.229872665269097,0.00305162918448574,0.0464217128632456,0.0818123480865214,3.25830921593928e-05,0.279960573486871,0.00305162918448574,0.00728204100842913
"ENSG00000102760",0.0794777983053789,0.279960573486871,0.0776455228941631,0.16376970836679,0.264066048723956,0.0215198867518156,0.479951494885688,0.0659200550448311,0.325894941012842
"ENSG00000102763",0.548943062292417,0.935974749691414,0.330761944057366,0.16376970836679,0.852205971286359,0.299846068599554,0.218234287814153,0.377529481125095,0.894426996905303
"ENSG00000102780",0.662569701911833,0.706636631932547,0.574356019094198,0.233655796536957,0.862673046727988,0.266135179286553,0.293358592377608,0.613855791268312,1
"ENSG00000102781",0.0511133313461826,0.137851665119629,0.0419721079880243,0.16376970836679,0.132421426617676,0.0241077494369323,0.266911027331621,0.0380369246819263,0.325894941012842
"ENSG00000102786",0.0642410915032262,0.0170794344247979,0.0419721079880243,0.426175240083245,0.0116965672688233,0.343216056936931,0.445725659891341,0.0506712879011351,0.0655430526010185
"ENSG00000102794",0.0896851201512627,0.809275856813226,0.498526210519246,0.366134446148299,0.718611975240987,0.870489829053713,0.0331160138053492,0.75892328414391,0.936558448192612
"ENSG00000102796",0.0487287262108179,0.146674286777004,0.00534044344098426,0.374432587815277,0.0269243939927269,0.000884153869770597,0.767803987378345,0.0100957118828225,0.00167697389645238
"ENSG00000102802",0.0136276053926542,0.279960573486871,0.00869589170385726,0.0642410915032261,0.0818123480865214,4.33135916811957e-05,0.293358592377608,0.00869589170385726,0.000330168802183902
"ENSG00000102804",0.548943062292417,0.97864147885784,0.177197391345227,0.202726649779675,0.728687504011136,0.0254810609537726,0.445725659891341,0.210445401571026,0.537220935211323
"ENSG00000102805",0.357931572468537,0.935974749691415,0.198979962224475,0.0700753047816203,0.852205971286359,0.0658211337907436,0.307102493519774,0.234526293394319,0.630685214642536
